Angulo do suporte,Diam. Int.,Diam. Ext,Passo,(-)MM,(+)MM
30,60,298,280,40,63.33519227
30,100,298,280,40,63.33519229
30,100,298,320,40,66.66503258
30,100,400,320,40,66.66503258
30,75,400,320,40,66.66502311
30,75,400,150,40,52.49668553
30,75,220,150,40,52.49668553
30,75,220,80,40,46.66730181
30,120,220,80,40,46.66730182
30,83,384,80,40,46.66730182
60,83,384,184,40,70.66804852
60,83,384,161,40,66.83620362
60,83,384,345,40,97.49723694
60,83,300,345,40,97.49723694
60,83,295,345,40,97.49723694
60,83,216,345,40,97.49680694
60,120,298,280,40,86.66480771
60,120,298,320,40,93.33069911
60,120,298,150,40,65.00021033
60,120,298,80,40,53.33269818
